1;Bits = 0011000000000110;X = 12294;X_normalizado = -12.496223392080568;Fitness = -10.465491333637766
2;Bits = 0011000000000100;X = 12292;X_normalizado = -12.497444113832303;Fitness = -10.467769046001298
3;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
4;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
5;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
6;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
7;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
8;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
9;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
10;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
11;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
12;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
13;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
14;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
15;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
16;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
17;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
18;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
19;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
20;Bits = 1110100000000100;X = 59396;X_normalizado = 16.252994583047226;Fitness = -11.89811536184878
